x0,y0,z0
2.555416596655371677e+02,7.957451256038037855e+02,4.701276180696664753e+00
2.372070903534462332e+02,7.764795268158903809e+02,3.703141204296122169e+01
2.596726492265714796e+02,7.559384814430512733e+02,3.261060305302945039e+01
2.667065145519136991e+02,7.564104354926672613e+02,3.475716456328620296e+01
2.498857974180796191e+02,7.273989443750090231e+02,3.040415681320856578e+01
2.535163119531629832e+02,7.473128136455480899e+02,4.890208665974101621e+01
2.526533283658187941e+02,7.169894721067660157e+02,4.692147089660089421e+01
2.534461086696960024e+02,7.250462207681650852e+02,2.910894122890468338e+01
2.510915558928207361e+02,6.987642583755315400e+02,6.413689029329711389e+01
2.748078337177786352e+02,6.889104031817226996e+02,4.741865637253108900e+01
2.626214598728091119e+02,6.918865040949592640e+02,5.845424507184164753e+01
2.605207452068050884e+02,6.711727450064640834e+02,7.402303099304570821e+01
2.544816175573116936e+02,6.418425115098143579e+02,5.333578634093373694e+01
2.634500174860845050e+02,6.376747599984203134e+02,6.660561699283502435e+01
2.520749039425822104e+02,6.127637459658973285e+02,5.808457992417864091e+01
2.357297241802685903e+02,5.817223936326522562e+02,7.258399887278953599e+01
2.493653837529553243e+02,5.684130361296847695e+02,5.688279014249442866e+01
2.439752991367475943e+02,5.628454780640397530e+02,6.941574507116582993e+01
2.412898298848375305e+02,5.323234041446332867e+02,6.161571245741048131e+01
2.570897022596266766e+02,5.105677623938612442e+02,8.935804411406341785e+01
2.410184475186815405e+02,4.961483499696018384e+02,5.573827604401527935e+01
2.404299618680880428e+02,4.595999286157027086e+02,6.372487284295946353e+01
2.351429276757592390e+02,4.598097249909335460e+02,8.018841534483973987e+01
2.435396380310585016e+02,4.326742873448478122e+02,6.796243623962149627e+01
2.363424650416034751e+02,3.983957377841869629e+02,6.313951077297794257e+01
2.066051496094423499e+02,3.910930179273759677e+02,4.974473840378047385e+01
2.376387412294924104e+02,3.548513857076569025e+02,5.469718578181104363e+01
2.109311447195534015e+02,3.267695556478386720e+02,5.884613624371971952e+01
1.943880658766274507e+02,3.239231008287251257e+02,6.804563910361143542e+01
2.225927287211345060e+02,2.972904087868823240e+02,5.161781529446508188e+01
1.935517903463489517e+02,2.735180405392979424e+02,3.712177642231633001e+01
1.984331365437118109e+02,2.592934772354761890e+02,6.207597104843505775e+01
1.905516110690334131e+02,2.300777295225167904e+02,3.698686195985902714e+01
1.804684605173625869e+02,2.070814536005538002e+02,4.710730053775380100e+01
1.784081069829642558e+02,1.720178538427493038e+02,2.728845345394913480e+01
1.872132656250122693e+02,1.324825498170210381e+02,3.284461182176639937e+01
1.590029201573675550e+02,1.246559697916848677e+02,3.577128678956850649e+01
1.749423039224965066e+02,1.075231757781230328e+02,3.263617098163210528e+01
1.708560945933712105e+02,5.840460409255054941e+01,2.927479549092253208e+01
1.741309140687394290e+02,2.550494612866124555e+01,5.231659270315518917e+00
1.797322071082749062e+02,-1.143997437956873853e+01,-7.953898411862050821e+00
1.618096371532306534e+02,-8.675081511813989010e+00,9.725700255531833704e+00
1.604592517987661893e+02,-3.903887662751405685e+01,3.818273410347652330e+00
1.315679537574789038e+02,-5.892610151318474720e+01,-2.291396634264027199e+01
1.582744051082525516e+02,-9.153033735177901065e+01,-1.270016042678113521e+01
1.376966157560159161e+02,-1.061760013185519966e+02,-2.533927028131942905e+01
1.165420579870633730e+02,-1.389802570677167068e+02,-2.544008154454571269e+01
1.137506819099620543e+02,-1.745044595653547503e+02,-2.663505467082417155e+01
1.345668307786641265e+02,-2.022995241856974360e+02,-3.209214239751768361e+01
1.364682211070679330e+02,-2.413572485720171983e+02,-2.004704013511092953e+01
1.045883029498635040e+02,-2.608654490628506437e+02,-5.606812194712207997e+01
1.089453601963467122e+02,-2.746030657899407856e+02,-6.514429578171457536e+01
1.143781933324715112e+02,-2.797907063145995608e+02,-5.626842235867637498e+01
7.765868962125411201e+01,-3.190113929070610084e+02,-6.026171654122070720e+01
8.840134004479415353e+01,-3.336873374743997260e+02,-7.136784506680734808e+01
7.831436563859989519e+01,-3.861236496938065557e+02,-1.021549508668116175e+02
6.592007466540141536e+01,-4.025822000852428459e+02,-9.167715586000409189e+01
7.094320454232595807e+01,-4.198725458056347861e+02,-9.794441852498214018e+01
7.361615149540730840e+01,-4.526009267420009223e+02,-1.142052011969309291e+02
3.926265722457628726e+01,-4.752195058815770494e+02,-1.055111132275091848e+02
4.247151754739104490e+01,-4.981768572967440605e+02,-1.252793084409715902e+02
5.552970340497906676e+01,-5.135946193536603914e+02,-1.083536975298432594e+02
3.599625906404428832e+01,-5.522486720859373008e+02,-1.302611136706234163e+02
4.366721419109580893e+01,-5.607091773023719270e+02,-1.284267937568249351e+02
2.162971122623042319e+01,-5.871915402648227200e+02,-1.423924843163988783e+02
4.282295864101540417e+01,-6.261960449140392484e+02,-1.471975831674934909e+02
2.740371729268643364e+01,-6.445647072094187706e+02,-1.575863856796001414e+02
1.287249924552950375e+01,-6.654357508341209950e+02,-1.769109035870837658e+02
2.319784856953668850e+01,-6.806035768293037336e+02,-1.689736010999070572e+02
-2.241391956236530092e+00,-6.939806470848355957e+02,-1.571199608933771401e+02
6.640700016952067131e+00,-7.198923296052048499e+02,-1.810311014895389974e+02
-6.850675612306872608e+00,-7.445653186531487790e+02,-1.839813128663690236e+02
-1.838467097526571337e+00,-7.531760143897346325e+02,-1.964831430931364764e+02
9.420776095663544680e+00,-7.636731702273710880e+02,-2.053020985191061811e+02
-1.054894599198821226e+01,-7.850165899910208509e+02,-1.888922840331554482e+02
-2.222876888210138446e+01,-8.120181452108215581e+02,-2.209766507321523648e+02
-2.831614563842741106e+01,-8.151097449196977323e+02,-2.093256050687625134e+02
-2.837366067620114762e+01,-8.310285551839717755e+02,-2.365922618260270269e+02
-1.743200561519698866e+01,-8.629450926038605303e+02,-2.290486072786286513e+02
-2.455196437993951974e+01,-8.776293665642948554e+02,-2.447713658932619012e+02
-5.005661710694081279e+01,-8.959806168862395452e+02,-2.467337658689730233e+02
-4.187782930924391422e+01,-9.024263849642151172e+02,-2.451740235745662062e+02
-4.091686425921761128e+01,-9.058228716183648430e+02,-2.586699865152781399e+02
-5.693120156657330000e+01,-9.225144643441029757e+02,-2.632660334377517870e+02
-7.483587086143232625e+01,-9.217510056020209959e+02,-2.688748535781238047e+02
-6.491046254689290151e+01,-9.613288604072832868e+02,-2.693601510213873098e+02
-7.053397160010089806e+01,-9.474304177190784912e+02,-2.949634272055328097e+02
-6.071732452038068573e+01,-9.639657618901715068e+02,-2.903841628337946759e+02
-8.459761633702838424e+01,-9.810209760600187110e+02,-2.920260700678796297e+02
-5.940638922322585813e+01,-9.978310298020415985e+02,-3.006825902606808540e+02
