x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9
-9.099812400521037716e+02,-1.401019007691246898e+01,1.021964180257664623e+02,-3.301328087075295343e+02,-2.370662970835383732e+01,-3.575648927752071131e+02,5.187760585997576754e+02,9.204088712692998797e+01,4.152078986910449885e+02,6.142683985085909626e+02,-5.536435288665602457e+02,-2.002526750208299973e+02,7.508578027671883319e+02,6.576337250358047868e+02,-7.517184863089839837e+02,-8.602188738655389670e+02,8.777980995187846247e+02,6.851702423049275694e+02,9.324978176885514358e+01,3.133113263459740665e+02,3.897841375992544499e+02,2.606479895562653724e+02,-2.065772707171961144e+02,2.807376900034623812e+00,5.296039395917534875e+02,4.496024598756908404e+02,-6.666287550032175204e+02,-4.158999072606430047e+01,-7.239196836292290982e+02,-1.118888037495165264e+02
-9.195365519319941541e+02,-6.576404894563709469e+00,1.148046752896093210e+02,-2.915371856399516446e+02,-4.714320395890259618e+01,-3.396778871428663820e+02,5.090419784633288032e+02,7.755316395610789471e+01,4.138538879357711835e+02,6.290890968430190924e+02,-5.294230613597160300e+02,-1.918691269590038928e+02,7.555868427196344328e+02,6.874790881727418537e+02,-7.604156444892706759e+02,-8.602711610334355328e+02,8.684856638961833823e+02,7.040141341099466672e+02,1.074250387811276823e+02,3.232225710915976151e+02,3.949405038159287074e+02,2.325086779995391453e+02,-2.236700505134743366e+02,2.306206321613225896e+01,5.421441228043784122e+02,4.137238777536944667e+02,-6.732221415399795887e+02,-2.311001025771194861e+01,-7.161538595238814651e+02,-1.344759566119592193e+02
-9.217990202828026440e+02,-1.292674264874029078e+01,1.020063838094852997e+02,-3.051199990053165720e+02,-3.577559543391090813e+01,-3.452350306983359474e+02,5.319372956323232984e+02,1.086438464507639452e+02,3.871497464481367956e+02,6.314757590185207619e+02,-5.305971634809404804e+02,-2.017023166455602450e+02,7.660956121051675609e+02,6.539084216440051023e+02,-7.709255594307962838e+02,-8.578921112042773984e+02,8.766106006370789601e+02,6.916718555089161100e+02,1.153773956479615208e+02,3.155876299719566873e+02,3.792727093798077931e+02,2.531959809774026553e+02,-1.746488297801182057e+02,3.567617470282403502e+00,5.192271575710731213e+02,4.231164020546865459e+02,-6.754573532800571911e+02,-4.420537985497163902e+01,-7.116533677095657140e+02,-1.626529284518157965e+02
-9.143746225647475967e+02,-2.570494475619618413e+01,1.174399455301805659e+02,-3.152470823750200566e+02,-2.114468587498819474e+01,-3.357207636198876344e+02,5.279588349572604784e+02,1.113086440233561376e+02,3.893461753077143612e+02,5.991421976993593717e+02,-5.232129558486559517e+02,-1.642678817995148108e+02,7.751211889442290612e+02,6.836970978403574009e+02,-7.594284665137539605e+02,-8.768999009731685419e+02,8.673482936380303272e+02,6.817730383903251550e+02,1.043271121068403033e+02,3.064002394757152388e+02,3.853517912332241053e+02,2.317429587621600149e+02,-1.918434771792652498e+02,1.790374206372189025e+00,5.137264163978881015e+02,4.131173287044655922e+02,-6.708764093486570346e+02,-2.923957707280527885e+01,-6.892651824221582046e+02,-1.238154763258273618e+02
-8.958389160072540562e+02,-1.590975802781131243e+01,1.299674206055578054e+02,-3.074564386105349740e+02,-2.778571109627499780e+01,-3.297954416754238309e+02,5.388733983741025213e+02,1.336984489774481233e+02,3.773102862983379282e+02,6.127792185857178993e+02,-5.310806801456328685e+02,-1.550646415168187104e+02,7.755481941117371889e+02,6.890685718176156342e+02,-7.659338971433005554e+02,-8.900663987131654267e+02,8.616241571214172836e+02,6.795392688555639324e+02,9.290046379205472249e+01,3.186292672186245909e+02,3.830762456402428597e+02,2.366495736737581979e+02,-1.773612683238268630e+02,9.866529905936111788e+00,5.021095537025223052e+02,3.989240445722695654e+02,-6.734041061588408184e+02,-3.007582599548152658e+01,-6.813243854284329473e+02,-1.356174511614788969e+02
-8.944562791761309200e+02,-1.215590249328343653e+01,1.202367949990098310e+02,-3.186651993209770239e+02,-2.500315162525244261e+01,-3.153260896314357069e+02,5.288531544682648473e+02,1.164119643788305893e+02,3.628032185579718885e+02,6.071693749372445836e+02,-5.017736463446858579e+02,-1.515503048542622935e+02,7.678662129709222199e+02,7.035258355759301594e+02,-7.506668276712601937e+02,-9.048786442697664825e+02,8.641080349407498034e+02,6.799052172819608586e+02,8.479238689827239739e+01,3.111122998048342083e+02,3.823440792922723404e+02,1.929691433443315987e+02,-1.558555162968790739e+02,-6.468248594778436278e-01,4.879453525478137408e+02,3.963169088845141914e+02,-6.776807142309398841e+02,1.145029485720780471e+01,-6.786627042309738727e+02,-1.561040866104216320e+02
-8.844076478111832103e+02,-2.155709972506723204e+01,1.406316370475643680e+02,-2.956832416857690191e+02,-2.990409919608692135e+01,-3.141267110130695528e+02,5.614491990952161586e+02,1.200409649838376254e+02,3.929213539748857329e+02,5.976164135879284913e+02,-4.930192870229366235e+02,-1.307977984284389379e+02,7.678488284542714837e+02,6.968584732116503346e+02,-7.300761204407069727e+02,-9.146969344549480638e+02,8.508308297569606111e+02,6.569044118454293084e+02,9.883553781732695143e+01,3.193221442067036833e+02,3.893982410448680298e+02,1.961187199316615590e+02,-1.667981136400813966e+02,-8.255043733044868048e+00,4.993029111730270415e+02,3.798567197778978652e+02,-6.732114230569183064e+02,-1.438703969265222504e+01,-6.688136123733952445e+02,-1.652623552407477803e+02
-8.770265260054969758e+02,-2.797058577610543040e+01,1.470192248770713661e+02,-2.920020260364059936e+02,-1.608122462761935267e+01,-3.049625918594587120e+02,5.577656878502697282e+02,1.249680868847437978e+02,3.567507880597693770e+02,5.713849819958663829e+02,-4.909287332595519615e+02,-1.404468437835383554e+02,7.677747237227936239e+02,6.896890878538617926e+02,-7.553325305825975420e+02,-9.210578709559692925e+02,8.569574663800124199e+02,6.582968034150026142e+02,6.671451155606948191e+01,3.063189679724266625e+02,3.805555598409944196e+02,2.016966237414177385e+02,-1.331630307396174544e+02,5.594457009494044897e-01,5.024320386814428616e+02,3.522352996136355614e+02,-6.760851443496886759e+02,-8.377542830983976785e+00,-6.579460715103094799e+02,-1.627775648355546139e+02
-8.822763744140937661e+02,-2.585151200547301187e+01,1.366161011490696637e+02,-3.080438073237742174e+02,-2.664564927197888267e+01,-3.063029960882341811e+02,5.382306066230789838e+02,1.239873585724321430e+02,3.710203450423533127e+02,5.858489073368654090e+02,-4.872242589072023975e+02,-1.397885957191071498e+02,7.553739429369394429e+02,6.888295723627926463e+02,-7.455808667434096151e+02,-9.210407672200097977e+02,8.280514890454347778e+02,6.404637721549519256e+02,8.118601045798519067e+01,3.124393348735368932e+02,3.746040671207015862e+02,1.805857418592147781e+02,-1.217372099082965065e+02,-5.980712452533193613e+00,4.885067427172255634e+02,3.711325335887859751e+02,-6.752583774759879134e+02,1.042515854104767570e+01,-6.554227511654089540e+02,-1.813348347043909143e+02
-8.719971300918001589e+02,-2.240855653257127145e+01,1.531100031027481236e+02,-2.861309419468976216e+02,-2.882357978201261517e+01,-2.988253903461459799e+02,5.624236023263151765e+02,1.542414025814822480e+02,3.434895437616276013e+02,5.802074035863344079e+02,-5.017898240217149919e+02,-9.737597242443625589e+01,7.714807656446376996e+02,7.134076495472654642e+02,-7.200608575271903646e+02,-9.113381114079016925e+02,8.370912711171288265e+02,6.456035166187136838e+02,6.498272309133500357e+01,2.837319049851089972e+02,3.669857506399285967e+02,1.449369777098693817e+02,-1.267165307657369908e+02,-3.680488648891168779e+00,4.813026062675003232e+02,3.547439431623759560e+02,-6.890545910041315665e+02,-3.696616458832630236e+00,-6.213916494864720335e+02,-1.688731948238720690e+02
