x,y
-567.643,-820.547
-616.027,-897.174
-631.364,-911.661
-616.568,-921.134
-607.561,-920.799
-597.322,-913.365
-596.35,-909.406
-593.418,-894.399
-584.458,-889.336
-580.096,-880.772
-578.305,-872.59
-563.292,-859.218
-557.773,-856.272
-555.325,-847.251
-554.527,-836.193
-549.914,-818.456
-551.478,-806.675
-543.187,-800.026
-533.326,-789.496
-525.733,-774.726
-520.311,-759.897
-516.611,-753.697
-512.224,-741.947
-508.385,-732.774
-502.663,-721.071
-504.408,-709.798
-505.648,-698.501
-505.691,-686.124
-503.867,-675.915
-500.47,-664.008
-496.041,-657.606
-487.182,-649.496
-486.921,-629.662
-485.081,-612.484
-480.218,-596.423
-474.346,-578.693
-468.387,-561.881
-463.393,-551.662
-460.302,-538.596
-462.553,-523.824
-454.37,-514.29
-449.879,-498.335
-441.603,-485.591
-440.689,-471.763
-440.872,-452.386
-429.484,-438.476
-427.233,-424.576
-429.693,-401.709
-422.363,-392.409
-418.011,-380.228
-408.605,-363.624
-405.764,-345.873
-400.232,-331.676
-401.236,-318.263
-398.562,-300.581
-390.046,-285.484
-392.924,-269.31
-394.873,-259.35
-393.398,-243.12
-387.244,-228.616
-385.001,-212.701
-383.735,-196.515
-382.553,-182.074
-378.634,-165.452
-368.976,-157.464
-363.07,-141.408
-360.319,-123.181
-359.172,-106.623
-355.269,-93.299
-349.699,-80.2849
-346.184,-72.1356
-342.945,-64.5876
-338.581,-61.812
-341.339,-56.0972
-334.751,-47.9799
-325.654,-39.2207
-326.663,-27.2182
-321.21,-18.0999
-318.861,-11.545
-314.105,3.99367
-310.7,13.533
-312.701,22.1621
-306.219,27.5054
-303.522,32.9975
-302.075,39.9393
-299.081,39.9531
-295.01,46.3883
-294.93,49.2328
-291.429,50.1431
-285.899,56.3797
-277.945,58.1664
-272.064,56.5663
-267.138,57.2047
-273.942,59.859
-271.817,57.6164
-263.248,52.9464
-259.93,50.8899
-256.94,47.4662
-256.308,47.4229
-251.383,45.7174
-246.89,38.7924
-242.983,32.9277
-238.783,25.9999
-238.017,20.4067
-241.224,19.9969
-237.036,17.3484
-239.612,12.7647
-239.547,4.72502
-231.172,-0.750974
-228.077,-3.66402
-225.837,-6.45476
-224.907,-12.8407
-221.346,-24.8009
-217.605,-27.7643
-218.902,-35.08
-215.756,-41.6459
-212.424,-46.1321
-206.664,-53.9058
-205.439,-58.9815
-205.338,-67.9441
-207.409,-73.5271
-203.983,-81.2068
-201.845,-81.6013
-203.951,-82.2228
-204.617,-87.778
-204.109,-86.6944
-206.645,-85.4396
-200.593,-92.3469
-198.352,-99.7858
-192.313,-103.064
-185.858,-111.196
-186.771,-111.097
-187.064,-113.752
-187.412,-116.684
-191.144,-122.679
-191.181,-123.247
-185.614,-128.079
-189.318,-133.254
-185.417,-138.846
-183.878,-140.712
-186.432,-146.013
-177.18,-147.597
-172.934,-146.296
-169.089,-144.277
-171.718,-138.612
-170.044,-142.695
-169.924,-150.059
-161.914,-156.002
-163.74,-165.793
-169.487,-173.608
-173.98,-174.034
-171.667,-176.249
-168.976,-180.901
-172.705,-179.657
-171.946,-178.16
-166.26,-175.281
-167.64,-175.811
-166.302,-178.8
-162.733,-180.145
-156.572,-183.252
-156.214,-184.41
-160.823,-182
-159.065,-175.938
-156.114,-181.107
-156.107,-178.698
-155.658,-177.216
-152.49,-180.208
-148.583,-179.231
-146.565,-182.699
-142.795,-182.46
-139.708,-178.731
-136.136,-175.381
-136.127,-171.964
-130.265,-168.824
-126.021,-165.286
-124.224,-166.453
-122.043,-166.743
-118.542,-169.261
-108.496,-170.575
-107.342,-161.243
-106.572,-167.35
-98.3282,-162.102
-91.9008,-159.817
-91.5693,-159.144
-86.8432,-155.746
-84.8879,-150.423
-80.4243,-142.305
-73.0585,-141.454
-70.0556,-136.708
-66.6617,-134.023
-67.2599,-126.763
-65.8561,-121.408
-64.1662,-113.847
-56.8159,-103.468
-56.7351,-97.4631
-43.8891,-93.4123
-35.7277,-86.3353
-28.8199,-84.145
-18.24,-73.5703
-9.42204,-72.005
-6.57776,-64.618
0.477637,-54.46
3.82324,-44.8553
14.0111,-35.2172
17.8488,-33.3774
15.8736,-26.7264
17.8665,-23.4132
26.9492,-19.5025
28.6774,-22.0107
30.9752,-21.0473
36.2711,-14.735
38.53,-13.9922
34.3187,-18.3048
32.9797,-20.3305
32.4406,-19.4373
35.1499,-13.3115
38.979,-19.6865
41.2131,-21.595
41.8854,-21.7406
41.2333,-16.7889
39.4825,-18.4048
28.6725,-28.8602
24.2627,-36.27
18.5638,-43.7285
19.8089,-47.9246
22.4063,-58.2732
19.214,-64.9201
9.96447,-68.9382
-3.63599,-82.2239
-11.2104,-92.5284
-14.3877,-93.6106
-14.6775,-103.517
-19.2461,-106.144
-24.3362,-111.964
-26.384,-129.913
-31.3736,-142.528
-34.6544,-158.505
-40.1208,-171.888
-46.5436,-186.945
-57.1199,-197.506
-62.6601,-206.748
-71.5675,-216.771
-82.2068,-225.4
-90.7259,-234.628
-97.6959,-247.918
-101.27,-259.255
-107.845,-272.699
-110.545,-284.828
-123.612,-298.374
-129.545,-315.188
-137.875,-329.32
-147.739,-339.606
-156.031,-356.151
-161.995,-364.019
-170.523,-381.078
-176.987,-396.6
-184.234,-410.937
-191.657,-422.246
-203.668,-435.114
-215.029,-454.848
-224.388,-468.599
-237.752,-485.708
-241.435,-499.509
-242.702,-513.926
-250.064,-530.999
-258.407,-548.339
-265.354,-556.991
-275.063,-574.894
-290.098,-593.233
-296.837,-602.182
-307.942,-617.181
-318.32,-631.27
-328.639,-647.138
-338.079,-665.016
-348.847,-675.681
-353.275,-689.69
-354.642,-704.237
-364.09,-716.256
-375.979,-730.155
-379.657,-746.101
-386.072,-758.364
-396.176,-774.111
-400.2,-784.331
-409.516,-794.473
-415.064,-808.208
-417.056,-817.273
-426.204,-831.642
-429.182,-842.548
-433.039,-854.318
-439.886,-866.258
-443.075,-883.641
-444.352,-894.899
-447.868,-907.066
-456.464,-915.072
-462.022,-924.885
-469.962,-931.909
-472.943,-938.053
-472.748,-948.997
-476.626,-963.763
-480.525,-970.48
-484.813,-981.081
-484.278,-987.896
-493.635,-992.4
-496.473,-995.589
-493.774,-1000.76
-497.951,-1003.3
-497.244,-1007.94
-498.107,-1008.97
-503.974,-1015.02
-507.024,-1016.94
-508.187,-1023.18
-506.957,-1020.14
-507.292,-1012.73
-510.28,-1004.07
-519.618,-992.63
-526.104,-982.663
-524.395,-974.83
-530.285,-966.16
-533.252,-954.022
-540.823,-936.332
-540.097,-922.027
-542.163,-912.729
-546.255,-896.115
-548.198,-877.332
-550.49,-857.206
-553.192,-839.717
-555.324,-824.049
-561.256,-804.372
-562.264,-791.423
-562.573,-771.932
-568.435,-752.511
-569.791,-734.195
-569.065,-716.855
-573.129,-696.212
-576.882,-668.091
-578.457,-642.79
-579.094,-614.468
-584.139,-595.418
-590.008,-568.734
-591.811,-544.55
-599.363,-516.597
-601.875,-493.483
-603.09,-464.164
-605.452,-434.423
-610.996,-402.768
-607.71,-371.557
-612.899,-345.842
-615.895,-314.894
-615.013,-285.171
-616.211,-257.916
-620.919,-231.786
-623.345,-203.837
-619.778,-176.464
-619.484,-152.84
-623.678,-124.654
-624.587,-102.866
-622.219,-76.8174
-625.209,-53.2473
-626.716,-25.8361
-625.188,-1.94161
-628.349,24.2776
-632.435,55.5105
-629.062,86.9686
-634.186,111.882
-634.962,148.659
-635.083,173.43
-637.292,204.605
-635.843,231.587
-634.423,258.104
-631.628,284.124
-628.513,306.585
-629.393,332.492
-634.55,361.254
-636.325,387.171
-636.217,410.325
-635.188,429.602
-633.77,457.385
-626.617,474.406
-622.799,495.24
-619.862,512.16
-615.218,534.377
-611.329,556.985
-609.539,581.862
-603.706,605.291
-600.371,619.432
-594.836,641.15
-594.943,663.626
-597.341,672.594
-590.014,694.683
-584.591,712.854
-580.818,726.885
-580.993,730.416
-577.805,740.938
-569.948,748.538
-567.772,757.865
-560.145,764.181
-553.768,774.838
-557.342,782.447
-552.519,790.515
-547.53,790.848
-541.381,802.303
-528.615,803.227
-525.741,805.631
-513.82,811.261
-508.621,814.559
-500.441,812.34
-498.547,802.808
-499.206,799.929
-502.348,795.271
-501.169,798.505
-499.828,795.57
-494.312,790.217
-496.115,781.296
-492.806,777.034
-494.748,770.19
-491.498,761.819
-493.589,752.841
-490.282,745.491
-491.321,735.017
-491.805,725.88
-496.195,710.368
-496.894,702.09
-493.323,687.981
-494.773,675.398
-498.79,660.696
-507.899,645.569
-511.415,631.926
-517.778,612.909
-519.288,599.682
-522.426,582.804
-519.694,568.1
-522.624,553.817
-529.859,546.989
-532.011,531.023
-534.957,514.027
-540.387,496.707
-549.55,470.081
-557.199,453.121
-565.846,436.193
-571.631,421.177
-577.647,398.762
-588.486,374.496
-592.191,356.236
-599.499,333.65
-604.356,313.035
-613.214,299.423
-614.277,281.994
-618.817,264.405
-626.572,242.526
-635.526,223.191
-638.585,203.643
-644.454,182.432
-651.256,158.02
-659.885,141.881
-661.79,125.719
-662.507,100.515
-675.646,76.8931
-681.423,60.1925
-692.707,45.5886
-698.374,28.3724
-701.345,10.6247
-704.895,0.785068
-713.8,-16.5208
-718.884,-32.7112
-724.161,-44.9518
-726.972,-62.0079
-730.97,-84.1639
-735.299,-100.115
-742.278,-118.066
-752.317,-133.839
-752.847,-151.89
-754.048,-166.221
-755.572,-183.906
-755.219,-194.936
-764.15,-208.54
-763.834,-217.047
-770.357,-226.205
-768.955,-231.755
-770.086,-243.781
-778.426,-254.053
-778.38,-266.371
-782.259,-281.089
-781.345,-291.627
-787.419,-294.233
-791.098,-304.512
-795.393,-311.655
-790.186,-317.782
-787.945,-319.56
-783.922,-320.125
-786.247,-322.122
-780.626,-324.693
-781.076,-324.826
-789.113,-334.481
-784.052,-340.746
-774.224,-338.817
-767.003,-344.324
-765.99,-337.919
-763.592,-329.381
-764.458,-320.557
-759.148,-310.889
