x,y
-567.6426958443717,-820.5474070329566
-616.0271751905982,-897.1744683829279
-631.3641509005694,-911.6607437658445
-616.5682806745571,-921.1341094277268
-607.5610880229225,-920.7987839684354
-597.3220308795647,-913.3649010875508
-596.350182264857,-909.4062619180586
-593.4176913067178,-894.399350002342
-584.4577122741712,-889.3364113845726
-580.0960859207657,-880.7720871503232
-578.3050317829135,-872.5903810485986
-563.2919532238126,-859.2182826497259
-557.7726301851189,-856.2716769295627
-555.325423604154,-847.2511307840155
-554.5272998454334,-836.1926958731037
-549.9143784158209,-818.4558208314639
-551.4783688892271,-806.6753486258813
-543.1867210043515,-800.025531071707
-533.3263250645044,-789.4957784185153
-525.7328966679027,-774.725904275574
-520.3107983663581,-759.8967521711185
-516.6105569706887,-753.6966487163257
-512.223623144365,-741.947005408556
-508.38456645570477,-732.7735914937607
-502.662604562385,-721.0714042652736
-504.40753056441895,-709.7979838482387
-505.6479111478809,-698.5007174313297
-505.6906447433081,-686.1238384267206
-503.86671450188203,-675.9154029395718
-500.46968615047825,-664.0076906731741
-496.0409399909929,-657.6062396600968
-487.1819721775877,-649.4960718929636
-486.9210807383064,-629.6625440289752
-485.08126639433226,-612.4836121634046
-480.21837440572625,-596.4233515468385
-474.3460492873854,-578.6929395637181
-468.3869994577404,-561.8810417431043
-463.39291855304555,-551.6616560790246
-460.3015630438352,-538.5956817713436
-462.552757118696,-523.824413103387
-454.37036678737263,-514.289630742315
-449.8794854099108,-498.3351241981078
-441.60278801398687,-485.5910236743733
-440.6886316433379,-471.76278998988835
-440.87171313426626,-452.3860736409901
-429.4840262939558,-438.4759373709036
-427.2333735871781,-424.57601144701584
-429.69347488468935,-401.70849725666653
-422.363212047446,-392.40910065688695
-418.0110106508692,-380.22765911975324
-408.6049100927278,-363.6243686842378
-405.7640642538668,-345.8729067715929
-400.23195548207497,-331.67646089565096
-401.235912069402,-318.2625425247028
-398.56209846108214,-300.5807631678425
-390.0462972714366,-285.4843275069768
-392.92449262946917,-269.3104485413028
-394.8734729259708,-259.3499124264342
-393.3980017700668,-243.1200312063867
-387.2436364924728,-228.61580017460224
-385.0013431748735,-212.70119752205733
-383.73493384233575,-196.51458372797157
-382.5532459650327,-182.0739643871942
-378.63439703221604,-165.4520355889162
