x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9
-907.988,-13.9795,101.973,-329.41,-23.6547,-356.782,517.64,91.8393,414.298,612.923,-552.431,-199.814,749.213,656.193,-750.072,-858.335,875.875,683.669,93.0455,312.625,388.93,260.077,-206.125,2.80123,528.444,448.618,-665.169,-41.4989,-722.334,-111.644
-920.821,-6.60892,114.929,-292.074,-47.1377,-340.219,509.799,77.709,414.449,629.942,-530.255,-192.169,756.652,688.368,-761.475,-861.5,869.755,704.961,107.534,323.654,395.489,232.928,-223.936,23.032,542.88,414.427,-674.163,-23.2005,-717.201,-134.598
-920.255,-12.8291,101.957,-304.226,-35.9345,-344.463,530.879,108.276,386.5,630.489,-529.451,-201.258,764.771,653.071,-769.627,-856.386,874.973,690.638,115.284,315.13,378.675,252.472,-174.569,3.76881,518.459,422.045,-674.322,-43.9329,-710.34,-162.517
-915.108,-25.9976,116.328,-317.112,-20.2178,-336.975,529.77,113.134,388.547,599.893,-524.601,-165.766,775.938,681.4,-760.479,-877.218,868.907,681.437,104.52,306.201,384.749,234.085,-189.078,0.365524,512.907,415.168,-671.436,-31.0074,-690.318,-125.131
-897.924,-16.9623,131.043,-309.274,-26.722,-330.315,539.052,132.76,379.597,611.549,-532.035,-153.251,777.586,692.989,-766.43,-893.081,863.237,680.742,92.325,318.541,384.864,235.564,-180.556,9.81117,503.872,400.011,-674.515,-28.8419,-682.124,-131.947
-895.299,-10.8605,122.901,-316.882,-26.9371,-315.978,530.398,117.656,364.944,610.79,-505.12,-151.112,769.685,707.079,-753.699,-907.659,865.324,682.571,84.2172,314.137,384.099,194.945,-158.89,2.02286,490.473,395.402,-679.519,10.5139,-680.369,-155.653
-887.46,-18.6578,138.642,-296.637,-31.8654,-312.881,558.11,116.298,390.711,602.219,-491.358,-133.847,767.874,701.829,-732.464,-917.216,854.062,662.374,97.4711,320.329,390.286,190.729,-165.447,-6.81333,499.699,380.379,-676.277,-6.71935,-672.274,-169.612
-880.316,-26.9114,147.789,-287.814,-20.7905,-305.424,561.617,120.743,365.794,576.997,-487.918,-139.678,767.967,692.135,-751.135,-922.74,856.997,659.043,73.6524,310.12,383.71,198.121,-138.782,-0.68833,506.171,353.093,-677.635,-8.91536,-661.342,-169.422
-884.072,-27.3513,140.207,-300.144,-26.2808,-305.513,544.044,121.778,369.576,582.867,-485.817,-142.639,758.001,687.808,-750.43,-922.162,833.929,644.358,79.3175,311.899,376.119,184.573,-121.889,-3.70878,496.11,363.105,-677.254,5.66023,-656.868,-183.35
-878.098,-24.0405,149.832,-287.63,-30.294,-300.527,556.711,147.287,348.807,582.28,-498.647,-109.368,768.459,706.831,-729.463,-912.319,834.097,644.949,69.473,289.186,367.357,151.807,-122.45,-2.71846,486.208,355.811,-688.325,-1.49318,-628.529,-176.383
